"id","title","content","publication_date","source_url","category","created_at"
1,"Medicare wants to make these generic drugs available for $2","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/fb15e395b7d0333ad5109e7ec9aff664.jpg"" /><p>The Centers for Medicare and Medicaid Services (CMS) just shared a preliminary list of generic drugs it plans to make available to Medicare recipients for $2 in a pilot program.<br /></p><p><a href=""https://qz.com/medicare-2-drug-list-medicaid-1851668732"">Read more...</a></p>","2024-10-09 14:39:56","https://qz.com/medicare-2-drug-list-medicaid-1851668732","Others","2024-10-09 14:43:26.282054"
2,"An HBO documentary says Peter Todd is the Bitcoin creator known as Satoshi Nakamoto. He denies it","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/4046de6574a7a5aa7932ebeccd7008b5.png"" /><p>Who created Bitcoin? Is it finally known? Perhaps not. </p><p><a href=""https://qz.com/hbo-documentary-claims-peter-todd-bitcoin-creator-satos-1851668667"">Read more...</a></p>","2024-10-09 14:22:06","https://qz.com/hbo-documentary-claims-peter-todd-bitcoin-creator-satos-1851668667","Others","2024-10-09 14:43:26.309168"
3,"Nvidia's stock surge sent its market cap past Microsoft's and close to a record high","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/d13dbd591cd76f288d66fc89a6104279.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/nvidia-stock-ai-chips-market-cap-1851647728"" rel=""noopener noreferrer"" target=""_blank"">Nvidia stock</a> seems to be climbing back to its record high close from June.</p><p><a href=""https://qz.com/nvidia-stock-market-cap-apple-microsoft-ai-chips-1851668601"">Read more...</a></p>","2024-10-09 14:19:00","https://qz.com/nvidia-stock-market-cap-apple-microsoft-ai-chips-1851668601","Others","2024-10-09 14:43:26.352904"
4,"Disneyland is raising prices — again","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/edc3a130c5dd28279b5013f0d230b185.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/disneyland-magic-united-workers-group-unionize-1851487221"" rel=""noopener noreferrer"" target=""_blank"">Disneyland</a> is raising its prices <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/disney-world-food-prices-increases-inflation-1851538692/slides/4"" rel=""noopener noreferrer"" target=""_blank"">again</a>, implementing increases across the board and for its highest-demand days.<br /></p><p><a href=""https://qz.com/disneyland-raised-its-prices-again-1851668643"">Read more...</a></p>","2024-10-09 14:15:00","https://qz.com/disneyland-raised-its-prices-again-1851668643","Others","2024-10-09 14:43:26.385216"
5,"GM swears it really will make money on electric cars soon","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/5e691a992b1fa455cbf151a0276c85b5.jpg"" /><p>America’s Big Three are having a tough time in the pivot to electric vehicles. <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/ford-s-ev-unit-has-already-lost-2-5-billion-this-year-1851607399"">Ford has lost billions through its EV</a> production, Stellantis has faced issues <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/fiat-500e-sales-are-so-bad-stellantis-ceo-has-to-talk-t-1851663344"">shifting its battery-powered models</a> and General Motors previously announced a <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/these-are-gms-previous-attempts-at-selling-hybrids-1851224293"">renewed interest in hybrids because EVs weren’t selling</a> in the number it hoped. Now,…</p><p><a href=""https://qz.com/gm-general-motors-mary-barra-electric-car-sales-evs-1851668627"">Read more...</a></p>","2024-10-09 13:49:03","https://qz.com/gm-general-motors-mary-barra-electric-car-sales-evs-1851668627","Others","2024-10-09 14:43:26.428941"
6,"Bankrupt EV startup Fisker's legal troubles keep getting worse","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a9ae82be4af3034c93ff164e40fcb99d.jpg"" /><p>Despite <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/comedy-of-errors-led-to-fisker-s-bankruptcy-1851550234"">going through bankruptcy</a> and shuttering operations Fisker’s legal problems keep getting worse. Just a day after it was announced that the <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""http:// https://jalopnik.com/fisker-is-dead-but-its-legal-troubles-are-just-beginnin-1851666516"" target=""_blank"">Securities and Exchange Commission subpoenaed the automaker</a>,  the automaker learned asking owners to cover their own recall repair costs was just as illegal as it sounds.</p><p><a href=""https://qz.com/fisker-bankruptcy-ocean-recalls-cost-doj-evs-1851668617"">Read more...</a></p>","2024-10-09 13:44:51","https://qz.com/fisker-bankruptcy-ocean-recalls-cost-doj-evs-1851668617","Others","2024-10-09 14:43:26.464943"
7,"The Boeing strike has no end in sight","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/3236c0d8fa87025eed55df183b815f75.jpg"" /><p>Boeing (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/BA"" rel=""noopener noreferrer"" target=""_blank"">BA</a>) on Tuesday withdrew its latest offer to union machinists after negotiations broke down as their <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/boeing-machinis-union-labor-strike-contract-wages-1851647608"" rel=""noopener noreferrer"" target=""_blank"">strike heads into its fourth week</a>. </p><p><a href=""https://qz.com/boeing-strike-union-talks-fail-credit-rating-cash-burn-1851668497"">Read more...</a></p>","2024-10-09 13:30:21","https://qz.com/boeing-strike-union-talks-fail-credit-rating-cash-burn-1851668497","Others","2024-10-09 14:43:26.492969"
8,"Costco's conundrum: How to compete online without killing that 'treasure hunt' vibe","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/0c672590f6132062d82b310a09a90df7.jpg"" /><p>As <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/costco-platinum-bars-gold-and-silver-retail-consumers-1851663436"" rel=""noopener noreferrer"" target=""_blank"">Costco Wholesale</a> (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/COST"" rel=""noopener noreferrer"" target=""_blank"">COST</a>) ventures further into e-commerce, it faces the daunting task of expanding its online presence without sacrificing the unique “treasure hunt” shopping experience that defines its warehouses.<br /></p><p><a href=""https://qz.com/can-costco-compete-online-without-killing-the-treasure-1851668136"">Read more...</a></p>","2024-10-09 13:10:35","https://qz.com/can-costco-compete-online-without-killing-the-treasure-1851668136","Others","2024-10-09 14:43:26.522541"
9,"Mortgage rates are rising again","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/f80bfd9c39ad978cc76190ecd9eeca81.jpg"" /><p>Mortgage rates are once again trending upwards.</p><p><a href=""https://qz.com/mortgage-rates-mba-housing-market-loan-volume-1851668526"">Read more...</a></p>","2024-10-09 13:05:00","https://qz.com/mortgage-rates-mba-housing-market-loan-volume-1851668526","Others","2024-10-09 14:43:26.542445"
53,"'Abandon Harris' group endorses Jill Stein over 'pro-genocide candidate' Kamala Harris","The Abandon Harris campaign endorsed Green Party candidate Jill Stein in the 2024 presidential election. The campaign accuses Kamala Harris of supporting genocide.","2024-10-08 19:02:27","https://www.foxnews.com/politics/abandon-harris-group-endorses-jill-stein-over-pro-genocide-candidate-kamala","Others","2024-10-09 14:43:27.712439"
10,"Google might get broken up after its big antitrust loss","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/21cab8cf1fea0f8c84ac84423a5cfd1a.jpg"" /><p>The Department of Justice could consider breaking up Google (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/GOOGL"" rel=""noopener noreferrer"" target=""_blank"">GOOGL</a>), after a federal judge ruled in August that the tech giant <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/google-loses-tech-antitrust-case-1851613659"" rel=""noopener noreferrer"" target=""_blank"">monopolized the online search engine market</a>.<br /></p><p><a href=""https://qz.com/google-alphabet-doj-antitrust-search-engine-monopoly-1851668496"">Read more...</a></p>","2024-10-09 12:30:00","https://qz.com/google-alphabet-doj-antitrust-search-engine-monopoly-1851668496","Others","2024-10-09 14:43:26.568534"
11,"The 10 most valuable private companies in the world","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/25ef1a59ba15be1aae51a3f42d5941bd.jpg"" /><p>In the startup world, a ‘unicorn’ is a private company valued at $1 billion or more — and it’s a status all aspiring firms dream of achieving.</p><p><a href=""https://qz.com/unicorn-startup-private-company-openai-bytedance-spacex-1851666550"">Read more...</a></p>","2024-10-09 09:00:00","https://qz.com/unicorn-startup-private-company-openai-bytedance-spacex-1851666550","Others","2024-10-09 14:43:26.589534"
